<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.01	3859.16	3895.13	3853.35	3865.53	241854	0	27
2025.10.02	3866.13	3897.14	3819.35	3856.31	221413	0	27
2025.10.03	3855.91	3891.54	3837.94	3886.40	213950	0	27
2025.10.06	3887.68	3970.03	3884.05	3960.83	279464	0	27
2025.10.07	3960.19	3990.96	3940.82	3984.83	276724	0	27
2025.10.08	3984.30	4059.07	3983.28	4041.22	273830	0	27
2025.10.09	4042.45	4057.75	3944.63	3976.54	327655	0	27
2025.10.10	3976.26	4022.83	3946.98	4017.30	335966	0	27
2025.10.13	4001.31	4116.95	3995.36	4109.88	277720	260385	27
2025.10.14	4110.83	4179.61	4090.42	4142.78	334718	0	27
2025.10.15	4144.69	4218.10	4140.47	4207.27	263085	0	27
2025.10.16	4209.46	4330.49	4199.55	4326.95	287858	0	27
2025.10.17	4332.29	4379.14	4186.25	4250.19	409105	0	33
2025.10.20	4253.69	4381.25	4218.81	4356.18	326874	0	37
2025.10.21	4356.09	4375.13	4081.78	4124.91	384960	0	33
2025.10.22	4125.66	4161.19	4004.44	4098.37	384443	0	33
2025.10.23	4095.44	4154.57	4065.81	4126.34	335333	0	33
2025.10.24	4127.66	4144.05	4043.92	4111.71	316132	0	33
2025.10.27	4073.33	4109.13	3971.19	3982.26	349800	0	32
2025.10.28	3984.08	4019.72	3886.51	3952.04	336041	0	32
2025.10.29	3955.93	4030.18	3916.92	3930.36	357466	0	32
2025.10.30	3931.44	4027.57	3915.03	4024.44	355460	0	32
2025.10.31	4024.10	4046.30	3972.49	4002.31	336215	0	32
2025.11.03	3985.96	4030.72	3962.54	4002.77	320633	0	32
2025.11.04	4003.31	4005.86	3928.60	3931.75	300674	0	32
2025.11.05	3932.61	3990.41	3929.24	3980.08	210946	0	32
2025.11.06	3979.75	4019.45	3964.45	3977.03	214846	0	32
2025.11.07	3975.12	4027.38	3974.41	4000.88	203207	0	32
2025.11.10	3999.58	4116.43	3997.74	4115.35	230245	0	32
2025.11.11	4115.71	4148.84	4097.00	4126.79	217327	0	32
2025.11.12	4126.96	4211.61	4098.77	4194.98	269388	0	32
2025.11.13	4195.21	4244.88	4145.35	4171.54	304101	0	32
2025.11.14	4170.73	4211.11	4032.15	4084.99	324466	0	32
2025.11.17	4085.54	4106.60	4006.86	4045.37	279866	0	32
2025.11.18	4046.01	4082.39	3997.92	4067.30	284792	0	32
2025.11.19	4067.33	4132.68	4055.41	4077.35	283085	0	32
2025.11.20	4078.31	4110.00	4038.85	4076.58	310274	0	32
2025.11.21	4079.05	4100.94	4022.29	4064.80	312186	0	32
2025.11.24	4071.66	4139.86	4039.95	4134.29	235833	0	32
2025.11.25	4135.40	4159.29	4109.54	4130.31	263271	0	33
2025.11.26	4131.69	4173.34	4129.73	4163.54	217226	0	32
2025.11.27	4163.12	4168.58	4142.56	4156.91	149508	0	33
2025.11.28	4158.42	4226.73	4148.08	4219.23	149780	0	32
